"drw_no";"drwt_no1";"drwt_no2";"drwt_no3";"drwt_no4";"drwt_no5";"drwt_no6";"bnus_no";"win_1_money";"win_1_count";"win_2_money";"win_2_count"
159;1;18;30;41;42;43;32;1755407300;6;73141971;24
160;3;7;8;34;39;41;1;5490805350;2;57195890;32
161;22;34;36;40;42;45;44;1996876272;7;33275487;63
162;1;5;21;25;38;41;24;2308265760;5;58289540;33
163;7;11;26;28;29;44;16;1629726515;7;40454205;47
164;6;9;10;11;39;41;27;4054937900;3;51986384;39
165;5;13;18;19;22;42;31;6767426700;2;56395223;40
166;9;12;27;36;39;45;14;1111299982;11;72763690;28
167;24;27;28;30;36;39;4;2491222920;5;57667198;36
168;3;10;31;40;42;43;30;2349946920;5;36264613;54
169;16;27;35;37;43;45;19;2482888380;5;66744312;31
170;2;11;13;15;31;42;10;1923108250;6;71226232;27
171;4;16;25;29;34;35;1;1961339700;6;103228406;19
172;4;19;21;24;26;41;35;1081154073;11;104321885;19
173;3;9;24;30;33;34;18;1487736788;8;31486493;63
174;13;14;18;22;35;39;16;1771103058;7;79472574;26
175;19;26;28;31;33;36;17;2371132620;5;41165497;48
176;4;17;30;32;33;34;15;2314663080;5;48222148;40
177;1;10;13;16;37;43;6;1693285500;7;65849992;30
178;1;5;11;12;18;23;9;2254621080;5;42701157;44
179;5;9;17;25;39;43;32;1081093920;10;33996665;53
180;2;15;20;21;29;34;22;5763371550;2;54889253;35
181;14;21;23;32;40;45;44;1941763300;6;80906805;24
182;13;15;27;29;34;40;35;3721439400;3;42289085;44
183;2;18;24;34;40;42;5;1777221500;6;71088860;25
184;1;2;6;16;20;33;41;1747753050;6;56379131;31
185;1;2;4;8;19;38;14;3522485800;3;51801262;34
186;4;10;14;19;21;45;9;1187882600;9;38735303;46
187;1;2;8;18;29;38;42;1544733900;7;94852082;19
188;19;24;27;30;31;34;36;3501405200;3;53051594;33
189;8;14;32;35;37;45;28;3461775100;3;52451138;33
190;8;14;18;30;31;44;15;1784159450;6;54065438;33
191;5;6;24;25;32;37;8;2577114675;4;74698977;23
192;4;8;11;18;37;45;33;2445348375;4;42900849;38
193;6;14;18;26;36;39;13;3404449700;3;85111243;20
194;15;20;23;26;39;44;28;2650567875;4;84145012;21
195;7;10;19;22;35;40;31;918992591;11;25527572;66
196;35;36;37;41;44;45;30;727876520;15;67395975;27
197;7;12;16;34;42;45;4;1803018300;6;42929008;42
198;12;19;20;25;41;45;2;1797855050;6;71914202;25
199;14;21;22;25;30;36;43;5344252200;2;77452931;23
200;5;6;13;14;17;20;7;1344616613;8;30910727;58
201;3;11;24;38;39;44;26;9719465400;1;43781376;37
202;12;14;27;33;39;44;17;1893391700;6;47334793;40
203;1;3;11;24;30;32;7;2164564740;5;41948930;43
204;3;12;14;35;40;45;5;1358347125;8;78744761;23
205;1;3;21;29;35;37;30;1835221800;6;87391515;21
206;1;2;3;15;20;25;43;2032859340;5;47056930;36
207;3;11;14;31;32;37;38;2104673760;5;47402563;37
208;14;25;31;34;40;44;24;1760767400;6;51787277;34
209;2;7;18;20;24;33;37;1660896350;6;48849893;34
210;10;19;22;23;25;37;39;5139085950;2;37239754;46
211;12;13;17;20;33;41;8;1035800250;10;59528750;29
212;11;12;18;21;31;38;8;2660747250;4;49273098;36
213;2;3;4;5;20;24;42;1376678025;8;55623355;33
214;5;7;20;25;28;37;32;1406980875;8;52110403;36
215;2;3;7;15;43;44;4;1587689615;7;57884518;32
216;7;16;17;33;36;40;1;848506108;13;29181427;63
217;16;20;27;33;35;39;38;1611246172;7;64820249;29
218;1;8;14;18;29;44;20;2779075800;4;71258354;26
219;4;11;20;26;35;37;16;1208409167;9;44210092;41
220;5;11;19;21;34;43;31;1958094950;6;69931963;28
221;2;20;33;35;37;40;10;1800104250;6;40911461;44
222;5;7;28;29;39;43;44;2275193820;5;57454390;33
223;1;3;18;20;26;27;38;1498170600;7;44817070;39
224;4;19;26;27;30;42;7;1808969950;6;69575768;26
225;5;11;13;19;31;36;7;1777201800;6;43346386;41
226;2;6;8;14;21;22;34;1744100150;6;45897373;38
227;4;5;15;16;22;42;2;5253542400;2;72965867;24
228;17;25;35;36;39;44;23;1146700334;9;44103859;39
229;4;5;9;11;23;38;35;1451441100;7;62716591;27
230;5;11;14;29;32;33;12;1292929163;8;68956222;25
